"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 06:00","2021","09","02","06:00","10.9","","9.8","","93","","0.2","","27","","34","","16.1","","94.59","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 07:00","2021","09","02","07:00","10.6","","9.3","","92","","0.0","","27","","30","","16.1","","94.63","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 08:00","2021","09","02","08:00","11.1","","8.9","","86","","0.0","","28","","37","","16.1","","94.63","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 09:00","2021","09","02","09:00","11.6","","8.9","","83","","0.0","","28","","41","","16.1","","94.64","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 10:00","2021","09","02","10:00","12.3","","8.7","","78","","0.0","","29","","37","","16.1","","94.68","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 11:00","2021","09","02","11:00","13.9","","9.8","","76","","0.0","","29","","32","","16.1","","94.68","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 12:00","2021","09","02","12:00","14.7","","9.5","","71","","0.0","","29","","37","","16.1","","94.71","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 13:00","2021","09","02","13:00","15.5","","9.7","","68","","0.0","","29","","28","","16.1","","94.72","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 14:00","2021","09","02","14:00","16.5","","9.2","","62","","0.0","","30","","24","","16.1","","94.74","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 15:00","2021","09","02","15:00","16.8","","8.7","","58","","0.0","","29","","26","","16.1","","94.74","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 16:00","2021","09","02","16:00","16.9","","9.9","","63","","0.0","","29","","28","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 17:00","2021","09","02","17:00","16.9","","9.2","","60","","0.0","","29","","24","","16.1","","94.71","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 18:00","2021","09","02","18:00","16.6","","9.0","","61","","0.0","","28","","21","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 19:00","2021","09","02","19:00","14.7","","9.5","","71","","0.0","","26","","8","","16.1","","94.71","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 20:00","2021","09","02","20:00","11.6","","9.1","","85","","0.0","","","","0","","16.1","","94.72","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 21:00","2021","09","02","21:00","11.2","","8.1","","81","","0.0","","25","","5","","14.5","","94.74","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 22:00","2021","09","02","22:00","10.4","","7.4","","81","","0.0","","","M","4","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-02 23:00","2021","09","02","23:00","8.5","","7.7","","95","","0.0","","","M","4","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 00:00","2021","09","03","00:00","6.6","","5.9","","95","","0.0","","12","","5","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 01:00","2021","09","03","01:00","6.2","","5.6","","96","","0.0","","13","","4","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 02:00","2021","09","03","02:00","5.7","","5.3","","97","","0.0","","12","","4","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 03:00","2021","09","03","03:00","4.9","","4.6","","98","","0.0","","","","0","","16.1","","94.74","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 04:00","2021","09","03","04:00","4.8","","4.5","","98","","0.0","","12","","4","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 05:00","2021","09","03","05:00","4.5","","4.2","","98","","0.0","","","M","4","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 06:00","2021","09","03","06:00","3.1","","3.0","","99","","0.0","","11","","5","","16.1","","94.74","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 07:00","2021","09","03","07:00","3.9","","3.5","","97","","0.0","","11","","8","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 08:00","2021","09","03","08:00","7.1","","6.0","","93","","0.0","","12","","9","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 09:00","2021","09","03","09:00","10.2","","7.7","","84","","0.0","","9","","8","","16.1","","94.72","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 10:00","2021","09","03","10:00","14.1","","8.9","","71","","0.0","","10","","9","","16.1","","94.71","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 11:00","2021","09","03","11:00","17.1","","9.3","","60","","0.0","","8","","9","","16.1","","94.68","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 12:00","2021","09","03","12:00","19.5","","7.5","","45","","0.0","","11","","11","","16.1","","94.63","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 13:00","2021","09","03","13:00","20.5","","9.1","","47","","0.0","","10","","11","","16.1","","94.60","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 14:00","2021","09","03","14:00","21.0","","8.8","","45","","0.0","","8","","5","","16.1","","94.58","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 15:00","2021","09","03","15:00","21.6","","9.0","","44","","0.0","","4","","5","","16.1","","94.55","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 16:00","2021","09","03","16:00","21.2","","8.6","","44","","0.0","","36","","11","","16.1","","94.53","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 17:00","2021","09","03","17:00","20.2","","9.2","","49","","0.0","","36","","5","","16.1","","94.52","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 18:00","2021","09","03","18:00","18.8","","14.7","","77","","0.0","","29","","5","","16.1","","94.51","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 19:00","2021","09","03","19:00","16.6","","12.9","","79","","0.0","","","","0","","16.1","","94.50","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 20:00","2021","09","03","20:00","14.6","","11.9","","84","","0.0","","15","","4","","16.1","","94.51","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 21:00","2021","09","03","21:00","13.3","","11.2","","87","","0.0","","14","","8","","16.1","","94.53","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 22:00","2021","09","03","22:00","11.3","","9.7","","90","","0.0","","10","","8","","16.1","","94.53","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-03 23:00","2021","09","03","23:00","11.6","","9.0","","84","","0.0","","8","","8","","16.1","","94.53","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 00:00","2021","09","04","00:00","10.9","","8.3","","84","","0.0","","9","","11","","16.1","","94.52","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 01:00","2021","09","04","01:00","10.0","","7.6","","85","","0.0","","10","","13","","16.1","","94.51","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 02:00","2021","09","04","02:00","8.1","","7.2","","94","","0.0","","11","","13","","16.1","","94.52","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 03:00","2021","09","04","03:00","7.6","","6.7","","94","","0.0","","12","","13","","16.1","","94.50","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 04:00","2021","09","04","04:00","7.6","","6.7","","94","","0.0","","12","","9","","16.1","","94.48","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 05:00","2021","09","04","05:00","6.3","","5.7","","96","","0.0","","12","","11","","16.1","","94.47","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 06:00","2021","09","04","06:00","6.0","","5.6","","97","","0.0","","12","","13","","16.1","","94.47","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 07:00","2021","09","04","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 08:00","2021","09","04","08:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 09:00","2021","09","04","09:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 10:00","2021","09","04","10:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 11:00","2021","09","04","11:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 12:00","2021","09","04","12:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 13:00","2021","09","04","13:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 14:00","2021","09","04","14:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 15:00","2021","09","04","15:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 16:00","2021","09","04","16:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 17:00","2021","09","04","17:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 18:00","2021","09","04","18:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 19:00","2021","09","04","19:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 20:00","2021","09","04","20:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 21:00","2021","09","04","21:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 22:00","2021","09","04","22:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-04 23:00","2021","09","04","23:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 00:00","2021","09","05","00:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 01:00","2021","09","05","01:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 02:00","2021","09","05","02:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 03:00","2021","09","05","03:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 04:00","2021","09","05","04:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 05:00","2021","09","05","05:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 06:00","2021","09","05","06:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 07:00","2021","09","05","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 08:00","2021","09","05","08:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 09:00","2021","09","05","09:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 10:00","2021","09","05","10:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 11:00","2021","09","05","11:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 12:00","2021","09","05","12:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 13:00","2021","09","05","13:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 14:00","2021","09","05","14:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 15:00","2021","09","05","15:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 16:00","2021","09","05","16:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 17:00","2021","09","05","17:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 18:00","2021","09","05","18:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 19:00","2021","09","05","19:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 20:00","2021","09","05","20:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 21:00","2021","09","05","21:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 22:00","2021","09","05","22:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-05 23:00","2021","09","05","23:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 00:00","2021","09","06","00:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 01:00","2021","09","06","01:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 02:00","2021","09","06","02:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 03:00","2021","09","06","03:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 04:00","2021","09","06","04:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 05:00","2021","09","06","05:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 06:00","2021","09","06","06:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 07:00","2021","09","06","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 08:00","2021","09","06","08:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 09:00","2021","09","06","09:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 10:00","2021","09","06","10:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 11:00","2021","09","06","11:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 12:00","2021","09","06","12:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 13:00","2021","09","06","13:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 14:00","2021","09","06","14:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 15:00","2021","09","06","15:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 16:00","2021","09","06","16:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 17:00","2021","09","06","17:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 18:00","2021","09","06","18:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 19:00","2021","09","06","19:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 20:00","2021","09","06","20:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 21:00","2021","09","06","21:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 22:00","2021","09","06","22:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-06 23:00","2021","09","06","23:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 00:00","2021","09","07","00:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 01:00","2021","09","07","01:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 02:00","2021","09","07","02:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 03:00","2021","09","07","03:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 04:00","2021","09","07","04:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 05:00","2021","09","07","05:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 06:00","2021","09","07","06:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 07:00","2021","09","07","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 08:00","2021","09","07","08:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 09:00","2021","09","07","09:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 10:00","2021","09","07","10:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 11:00","2021","09","07","11:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 12:00","2021","09","07","12:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 13:00","2021","09","07","13:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 14:00","2021","09","07","14:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 15:00","2021","09","07","15:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 16:00","2021","09","07","16:00","18.8","","9.5","","54","","0.0","","31","","9","","16.1","","95.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 17:00","2021","09","07","17:00","18.5","","9.6","","56","","0.0","","30","","9","","16.1","","95.03","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 18:00","2021","09","07","18:00","16.7","","8.8","","59","","0.0","","24","","8","","16.1","","95.03","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 19:00","2021","09","07","19:00","14.6","","8.8","","68","","0.0","","21","","5","","16.1","","95.01","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 20:00","2021","09","07","20:00","14.5","","9.0","","70","","0.0","","14","","5","","16.1","","95.03","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 21:00","2021","09","07","21:00","11.8","","8.7","","81","","0.0","","","M","4","","16.1","","95.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 22:00","2021","09","07","22:00","9.3","","8.0","","91","","0.0","","10","","5","","16.1","","95.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-07 23:00","2021","09","07","23:00","9.1","","7.9","","92","","0.0","","15","","4","","16.1","","95.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 00:00","2021","09","08","00:00","6.9","","6.2","","95","","0.0","","11","","4","","16.1","","95.05","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 01:00","2021","09","08","01:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 02:00","2021","09","08","02:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 03:00","2021","09","08","03:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 04:00","2021","09","08","04:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 05:00","2021","09","08","05:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 06:00","2021","09","08","06:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 07:00","2021","09","08","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 08:00","2021","09","08","08:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 09:00","2021","09","08","09:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 10:00","2021","09","08","10:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 11:00","2021","09","08","11:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 12:00","2021","09","08","12:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 13:00","2021","09","08","13:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 14:00","2021","09","08","14:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 15:00","2021","09","08","15:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 16:00","2021","09","08","16:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 17:00","2021","09","08","17:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 18:00","2021","09","08","18:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 19:00","2021","09","08","19:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 20:00","2021","09","08","20:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 21:00","2021","09","08","21:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 22:00","2021","09","08","22:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-08 23:00","2021","09","08","23:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 00:00","2021","09","09","00:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 01:00","2021","09","09","01:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 02:00","2021","09","09","02:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 03:00","2021","09","09","03:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 04:00","2021","09","09","04:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 05:00","2021","09","09","05:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 06:00","2021","09","09","06:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 07:00","2021","09","09","07:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 08:00","2021","09","09","08:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 09:00","2021","09","09","09:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 10:00","2021","09","09","10:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 11:00","2021","09","09","11:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 12:00","2021","09","09","12:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 13:00","2021","09","09","13:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 14:00","2021","09","09","14:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 15:00","2021","09","09","15:00"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 16:00","2021","09","09","16:00","15.9","","9.9","","67","","0.0","","30","","32","","16.1","","94.23","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 17:00","2021","09","09","17:00","16.6","","10.2","","66","","0.0","","29","","22","","16.1","","94.24","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 18:00","2021","09","09","18:00","15.6","","9.4","","66","","0.0","","27","","30","","16.1","","94.26","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2021-09-09 19:00","2021","09","09","19:00","14.2","","10.0","","76","","0.0","","27","","18","","16.1","","94.31","","","","","","NA"
